Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
3,2023-01-13,CUST003,Male,50,ELECTRONICS,1,30.0,30.0
8,2023-02-22,CUST008,Male,30,ELECTRONICS,4,25.0,100.0
9,2023-12-13,CUST009,Male,63,ELECTRONICS,2,300.0,600.0
13,2023-08-05,CUST013,Male,22,ELECTRONICS,3,500.0,1500.0
15,2023-01-16,CUST015,Female,42,ELECTRONICS,4,500.0,2000.0
18,2023-04-30,CUST018,Female,47,ELECTRONICS,2,25.0,50.0
26,2023-10-07,CUST026,Female,28,ELECTRONICS,2,500.0,1000.0
29,2023-08-18,CUST029,Female,42,ELECTRONICS,1,30.0,30.0
31,2023-05-23,CUST031,Male,44,ELECTRONICS,4,300.0,1200.0
33,2023-03-23,CUST033,Female,50,ELECTRONICS,2,50.0,100.0
45,2023-07-03,CUST045,Female,55,ELECTRONICS,1,30.0,30.0
46,2023-06-26,CUST046,Female,20,ELECTRONICS,4,300.0,1200.0
48,2023-05-16,CUST048,Male,54,ELECTRONICS,3,300.0,900.0
49,2023-01-23,CUST049,Female,54,ELECTRONICS,2,500.0,1000.0
53,2023-07-13,CUST053,Male,34,ELECTRONICS,2,50.0,100.0
54,2023-02-10,CUST054,Female,38,ELECTRONICS,3,500.0,1500.0
63,2023-02-05,CUST063,Male,57,ELECTRONICS,2,25.0,50.0
65,2023-12-05,CUST065,Male,51,ELECTRONICS,4,500.0,2000.0
66,2023-04-27,CUST066,Female,45,ELECTRONICS,1,30.0,30.0
68,2023-02-10,CUST068,Male,25,ELECTRONICS,1,300.0,300.0
72,2023-05-23,CUST072,Female,20,ELECTRONICS,4,500.0,2000.0
73,2023-08-21,CUST073,Male,29,ELECTRONICS,3,30.0,90.0
76,2023-03-25,CUST076,Female,22,ELECTRONICS,2,50.0,100.0
81,2023-05-17,CUST081,Male,40,ELECTRONICS,1,50.0,50.0
83,2023-12-16,CUST083,Male,54,ELECTRONICS,2,50.0,100.0
84,2023-11-28,CUST084,Female,38,ELECTRONICS,3,30.0,90.0
89,2023-10-01,CUST089,Female,55,ELECTRONICS,4,500.0,2000.0
90,2023-05-06,CUST090,Female,51,ELECTRONICS,1,30.0,30.0
91,2023-03-25,CUST091,Female,55,ELECTRONICS,1,500.0,500.0
92,2023-08-25,CUST092,Female,51,ELECTRONICS,4,30.0,120.0
99,2023-12-17,CUST099,Female,50,ELECTRONICS,4,300.0,1200.0
100,2023-06-16,CUST100,Male,41,ELECTRONICS,1,30.0,30.0
105,2023-07-25,CUST105,Female,22,ELECTRONICS,1,500.0,500.0
109,2023-10-18,CUST109,Female,34,ELECTRONICS,4,500.0,2000.0
111,2023-04-19,CUST111,Female,34,ELECTRONICS,3,500.0,1500.0
113,2023-09-13,CUST113,Female,41,ELECTRONICS,2,25.0,50.0
117,2023-03-15,CUST117,Male,19,ELECTRONICS,2,500.0,1000.0
118,2023-05-16,CUST118,Female,30,ELECTRONICS,4,500.0,2000.0
121,2023-10-15,CUST121,Female,28,ELECTRONICS,4,50.0,200.0
122,2023-10-03,CUST122,Male,64,ELECTRONICS,4,30.0,120.0
123,2023-05-15,CUST123,Female,40,ELECTRONICS,2,30.0,60.0
132,2023-09-10,CUST132,Male,42,ELECTRONICS,4,50.0,200.0
133,2023-02-16,CUST133,Male,20,ELECTRONICS,3,300.0,900.0
134,2023-01-25,CUST134,Male,49,ELECTRONICS,1,50.0,50.0
136,2023-03-20,CUST136,Male,44,ELECTRONICS,2,300.0,600.0
140,2023-08-05,CUST140,Male,38,ELECTRONICS,1,30.0,30.0
141,2023-11-02,CUST141,Female,22,ELECTRONICS,1,50.0,50.0
142,2023-02-02,CUST142,Male,35,ELECTRONICS,4,300.0,1200.0
147,2023-09-28,CUST147,Male,23,ELECTRONICS,1,300.0,300.0
150,2023-01-06,CUST150,Female,58,ELECTRONICS,4,30.0,120.0
152,2023-02-28,CUST152,Male,43,ELECTRONICS,4,500.0,2000.0
153,2023-12-16,CUST153,Male,63,ELECTRONICS,2,500.0,1000.0
154,2023-10-02,CUST154,Male,51,ELECTRONICS,3,300.0,900.0
155,2023-05-17,CUST155,Male,31,ELECTRONICS,4,500.0,2000.0
157,2023-06-24,CUST157,Male,62,ELECTRONICS,4,500.0,2000.0
158,2023-02-27,CUST158,Female,44,ELECTRONICS,2,300.0,600.0
173,2023-11-08,CUST173,Male,64,ELECTRONICS,4,30.0,120.0
175,2023-03-20,CUST175,Female,31,ELECTRONICS,4,25.0,100.0
179,2023-09-29,CUST179,Male,31,ELECTRONICS,1,300.0,300.0
181,2023-11-03,CUST181,Male,19,ELECTRONICS,4,300.0,1200.0
184,2023-01-10,CUST184,Male,31,ELECTRONICS,4,50.0,200.0
201,2023-10-09,CUST201,Male,56,ELECTRONICS,1,25.0,25.0
208,2023-10-04,CUST208,Female,34,ELECTRONICS,4,50.0,200.0
209,2023-12-20,CUST209,Female,30,ELECTRONICS,4,50.0,200.0
210,2023-04-13,CUST210,Male,37,ELECTRONICS,4,50.0,200.0
216,2023-07-11,CUST216,Male,62,ELECTRONICS,2,50.0,100.0
217,2023-08-13,CUST217,Female,35,ELECTRONICS,4,50.0,200.0
219,2023-08-20,CUST219,Female,53,ELECTRONICS,3,30.0,90.0
227,2023-10-11,CUST227,Male,36,ELECTRONICS,2,50.0,100.0
228,2023-04-28,CUST228,Female,59,ELECTRONICS,2,30.0,60.0
234,2023-11-20,CUST234,Female,62,ELECTRONICS,2,25.0,50.0
235,2023-01-31,CUST235,Female,23,ELECTRONICS,2,500.0,1000.0
239,2023-06-19,CUST239,Male,38,ELECTRONICS,3,500.0,1500.0
241,2023-09-21,CUST241,Female,23,ELECTRONICS,3,25.0,75.0
243,2023-05-23,CUST243,Female,47,ELECTRONICS,3,300.0,900.0
246,2023-04-20,CUST246,Female,48,ELECTRONICS,2,25.0,50.0
247,2023-10-04,CUST247,Male,41,ELECTRONICS,2,30.0,60.0
250,2023-10-23,CUST250,Male,48,ELECTRONICS,1,50.0,50.0
252,2023-05-05,CUST252,Male,54,ELECTRONICS,1,300.0,300.0
254,2023-07-28,CUST254,Male,41,ELECTRONICS,1,500.0,500.0
266,2023-12-01,CUST266,Female,19,ELECTRONICS,2,30.0,60.0
268,2023-02-20,CUST268,Female,28,ELECTRONICS,1,30.0,30.0
270,2023-07-26,CUST270,Male,43,ELECTRONICS,1,300.0,300.0
272,2023-02-25,CUST272,Female,61,ELECTRONICS,2,50.0,100.0
282,2023-08-25,CUST282,Female,64,ELECTRONICS,4,50.0,200.0
283,2023-05-08,CUST283,Female,18,ELECTRONICS,1,500.0,500.0
285,2023-08-15,CUST285,Female,31,ELECTRONICS,1,25.0,25.0
286,2023-10-09,CUST286,Male,55,ELECTRONICS,2,25.0,50.0
289,2023-11-30,CUST289,Male,53,ELECTRONICS,2,30.0,60.0
293,2023-05-02,CUST293,Male,50,ELECTRONICS,3,30.0,90.0
297,2023-09-04,CUST297,Female,40,ELECTRONICS,2,500.0,1000.0
299,2023-07-25,CUST299,Male,61,ELECTRONICS,2,500.0,1000.0
300,2023-01-31,CUST300,Female,19,ELECTRONICS,4,50.0,200.0
303,2023-01-02,CUST303,Male,19,ELECTRONICS,3,30.0,90.0
304,2023-07-19,CUST304,Female,37,ELECTRONICS,2,30.0,60.0
306,2023-08-21,CUST306,Male,54,ELECTRONICS,1,50.0,50.0
307,2023-05-27,CUST307,Female,26,ELECTRONICS,2,25.0,50.0
317,2023-01-30,CUST317,Male,22,ELECTRONICS,3,30.0,90.0
320,2023-02-01,CUST320,Female,28,ELECTRONICS,4,300.0,1200.0
321,2023-06-10,CUST321,Female,26,ELECTRONICS,2,25.0,50.0
322,2023-01-30,CUST322,Male,51,ELECTRONICS,1,500.0,500.0
324,2023-10-27,CUST324,Female,52,ELECTRONICS,3,50.0,150.0
325,2023-09-02,CUST325,Female,52,ELECTRONICS,2,25.0,50.0
327,2023-09-29,CUST327,Male,57,ELECTRONICS,3,50.0,150.0
329,2023-01-30,CUST329,Female,46,ELECTRONICS,4,25.0,100.0
331,2023-02-11,CUST331,Male,28,ELECTRONICS,3,30.0,90.0
332,2023-04-06,CUST332,Male,58,ELECTRONICS,4,300.0,1200.0
333,2023-02-05,CUST333,Female,54,ELECTRONICS,4,300.0,1200.0
334,2023-11-01,CUST334,Male,31,ELECTRONICS,3,300.0,900.0
339,2023-03-03,CUST339,Female,22,ELECTRONICS,2,25.0,50.0
343,2023-11-01,CUST343,Male,21,ELECTRONICS,2,25.0,50.0
345,2023-11-14,CUST345,Male,62,ELECTRONICS,1,30.0,30.0
347,2023-08-03,CUST347,Male,42,ELECTRONICS,1,25.0,25.0
348,2023-12-03,CUST348,Female,35,ELECTRONICS,2,300.0,600.0
352,2023-06-11,CUST352,Male,57,ELECTRONICS,2,500.0,1000.0
353,2023-05-14,CUST353,Male,31,ELECTRONICS,1,500.0,500.0
355,2023-12-09,CUST355,Female,55,ELECTRONICS,1,500.0,500.0
356,2023-06-10,CUST356,Male,50,ELECTRONICS,3,500.0,1500.0
357,2023-05-03,CUST357,Female,40,ELECTRONICS,3,25.0,75.0
361,2023-12-10,CUST361,Female,34,ELECTRONICS,4,300.0,1200.0
367,2023-01-05,CUST367,Female,57,ELECTRONICS,1,50.0,50.0
369,2023-11-15,CUST369,Male,23,ELECTRONICS,3,500.0,1500.0
370,2023-10-16,CUST370,Male,23,ELECTRONICS,2,30.0,60.0
380,2023-05-06,CUST380,Male,56,ELECTRONICS,2,300.0,600.0
385,2023-10-06,CUST385,Male,50,ELECTRONICS,3,500.0,1500.0
386,2023-12-27,CUST386,Female,54,ELECTRONICS,2,300.0,600.0
388,2023-11-10,CUST388,Male,50,ELECTRONICS,1,25.0,25.0
390,2023-09-28,CUST390,Male,39,ELECTRONICS,2,50.0,100.0
395,2023-12-06,CUST395,Male,50,ELECTRONICS,2,500.0,1000.0
404,2023-05-25,CUST404,Male,46,ELECTRONICS,2,500.0,1000.0
407,2023-06-25,CUST407,Female,46,ELECTRONICS,3,300.0,900.0
409,2023-12-18,CUST409,Female,21,ELECTRONICS,3,300.0,900.0
411,2023-05-16,CUST411,Male,62,ELECTRONICS,4,50.0,200.0
412,2023-09-16,CUST412,Female,19,ELECTRONICS,4,500.0,2000.0
416,2023-02-17,CUST416,Male,53,ELECTRONICS,4,500.0,2000.0
417,2023-11-21,CUST417,Male,43,ELECTRONICS,3,300.0,900.0
418,2023-08-05,CUST418,Female,60,ELECTRONICS,2,500.0,1000.0
425,2023-05-15,CUST425,Female,55,ELECTRONICS,4,30.0,120.0
426,2023-03-24,CUST426,Male,23,ELECTRONICS,3,50.0,150.0
427,2023-08-15,CUST427,Male,25,ELECTRONICS,1,25.0,25.0
